"method","n","gamma","dgp","bias","rmse","coverage","ci_width","na_frac"
"AIPW-IV",1000,0.5,"sparse",-0.044,0.677,100,2.85,0
"IV-TMLE",1000,0.5,"sparse",-0.021,0.689,100,2.865,0
"2SLS",1000,1,"sparse",0.035,0.338,98,1.308,0
"Post-Lasso",1000,1,"sparse",0.032,0.323,99,1.274,0
"DML-IV",1000,1,"sparse",0.039,0.344,97,1.313,0
"AIPW-IV",1000,1,"sparse",0.065,0.395,94,1.429,0
"IV-TMLE",1000,1,"sparse",0.07,0.395,94,1.411,0
"2SLS",1000,2,"sparse",-0.021,0.172,94,0.628,0
"Post-Lasso",1000,2,"sparse",-0.016,0.17,95,0.621,0
"DML-IV",1000,2,"sparse",-0.018,0.17,93,0.628,0
"AIPW-IV",1000,2,"sparse",-0.001,0.205,92,0.72,0
"IV-TMLE",1000,2,"sparse",-0.003,0.204,92,0.701,0
"2SLS",500,0.5,"linear",-0.568,6.136,99,1004.412,0
"Post-Lasso",500,0.5,"linear",-1.12,11.299,99,3848.621,0
"DML-IV",500,0.5,"linear",0.031,2.376,99,23.704,0
"AIPW-IV",500,0.5,"linear",0.401,1.738,100,8.87,0.01
"IV-TMLE",500,0.5,"linear",0.011,1.825,100,8.499,0
"2SLS",500,1,"linear",-0.022,0.447,99,1.852,0
"Post-Lasso",500,1,"linear",-0.023,0.448,99,1.856,0
"DML-IV",500,1,"linear",-0.041,0.456,99,1.838,0
"AIPW-IV",500,1,"linear",0.107,0.57,98,2.278,0
"IV-TMLE",500,1,"linear",0.122,0.567,98,2.188,0
"2SLS",500,2,"linear",0.037,0.225,94,0.889,0
"Post-Lasso",500,2,"linear",0.037,0.226,94,0.89,0
"DML-IV",500,2,"linear",0.036,0.228,94,0.885,0
"AIPW-IV",500,2,"linear",0.125,0.286,91,1.069,0
"IV-TMLE",500,2,"linear",0.125,0.282,91,1.025,0
"2SLS",500,0.5,"nonlinear",0.164,2.662,100,14.221,0
"Post-Lasso",500,0.5,"nonlinear",0.058,2.208,100,11.201,0
"DML-IV",500,0.5,"nonlinear",0.219,2.621,100,14.208,0
"AIPW-IV",500,0.5,"nonlinear",-0.254,1.789,99,7.992,0
"IV-TMLE",500,0.5,"nonlinear",-0.223,1.681,99,7.423,0
"2SLS",500,1,"nonlinear",0.222,0.772,98,3.49,0
"Post-Lasso",500,1,"nonlinear",0.296,0.767,99,3.362,0
"DML-IV",500,1,"nonlinear",0.243,0.777,96,3.162,0
"AIPW-IV",500,1,"nonlinear",0.209,0.84,99,3.147,0
"IV-TMLE",500,1,"nonlinear",0.213,0.806,99,3.129,0
"2SLS",500,2,"nonlinear",0.058,0.397,97,1.603,0
"Post-Lasso",500,2,"nonlinear",0.072,0.387,97,1.573,0
"DML-IV",500,2,"nonlinear",0.05,0.375,95,1.438,0
"AIPW-IV",500,2,"nonlinear",0.006,0.334,95,1.32,0
"IV-TMLE",500,2,"nonlinear",0.012,0.337,95,1.308,0
"2SLS",500,0.5,"sparse",0.029,2.966,99,81.332,0
"Post-Lasso",500,0.5,"sparse",-0.06,2.133,99,16.874,0
"DML-IV",500,0.5,"sparse",-0.073,1.546,99,9.512,0
"AIPW-IV",500,0.5,"sparse",0.196,2.043,100,8.481,0.01
"IV-TMLE",500,0.5,"sparse",-0.125,1.363,100,6.54,0
"2SLS",500,1,"sparse",0.044,0.583,94,1.984,0
"Post-Lasso",500,1,"sparse",0.043,0.541,93,1.909,0
"DML-IV",500,1,"sparse",0.052,0.58,94,1.957,0
"AIPW-IV",500,1,"sparse",0.101,0.553,96,2.119,0
"IV-TMLE",500,1,"sparse",0.121,0.569,94,2.099,0
"2SLS",500,2,"sparse",0.026,0.209,96,0.898,0
"Post-Lasso",500,2,"sparse",0.025,0.204,96,0.882,0
"DML-IV",500,2,"sparse",0.037,0.218,97,0.905,0
"AIPW-IV",500,2,"sparse",0.086,0.266,96,1.036,0
"IV-TMLE",500,2,"sparse",0.088,0.262,96,1.011,0
